,rewards
1314,122.15714285714283
1315,50.47619047619044
1316,131.35952380952384
1317,157.0
1318,56.27738095238132
1319,31.67619047619049
1320,107.33690476190476
1321,31.441269841269946
1322,102.5
1323,104.36666666666666
1324,37.035714285714384
1325,100.0
1326,42.241269841270075
1327,105.31071428571428
1328,32.183333333333294
1329,50.50952380952378
1330,122.33333333333333
1331,121.21785714285713
1332,30.116666666666827
1333,101.0
1334,117.5333333333333
1335,88.21666666666674
1336,152.3238095238095
1337,101.0
1338,104.36666666666666
1339,50.410714285714256
1340,148.83333333333334
1341,38.080158730158864
1342,33.48333333333333
1343,124.33333333333333
1344,50.47619047619044
1345,50.47619047619044
1346,144.92023809523806
1347,123.60476190476189
1348,102.5
1349,101.0
1350,31.441269841269946
1351,135.16666666666663
1352,104.36666666666666
1353,50.476190476190446
1354,33.472222222222214
1355,105.31071428571428
1356,110.79126984126984
1357,131.0261904761905
1358,104.36666666666666
1359,105.31071428571428
1360,36.689682539682536
1361,105.31071428571428
1362,128.3289682539683
1363,133.56349206349202
1364,111.66230158730157
1365,102.5
1366,84.91666666666671
1367,104.36666666666666
1368,30.069444444444603
1369,101.0
1370,104.36666666666666
1371,138.08333333333331
1372,55.46626984127013
1373,104.16666666666642
1374,102.5
1375,116.91626984126981
1376,105.57619047619048
1377,104.36666666666666
1378,33.70079365079363
1379,33.068650793650896
1380,30.83333333333343
1381,100.0
1382,129.0404761904762
1383,51.51190476190474
1384,100.0
1385,102.5
1386,81.61666666666673
1387,100.0
1388,100.0
1389,30.937301587301686
1390,30.83333333333343
1391,100.0
1392,33.47222222222222
1393,30.83333333333343
1394,100.0
1395,134.09206349206346
1396,37.04246031746036
1397,119.53690476190475
1398,31.102777777777877
1399,143.67380952380952
1400,101.0
1401,105.31071428571428
1402,105.31071428571428
1403,101.0
1404,94.26230158730127
1405,46.15238095238108
1406,40.06587301587324
1407,166.6666666666667
1408,31.49960317460328
1409,127.222619047619
1410,34.79761904761923
1411,31.794444444444554
1412,54.25714285714303
1413,33.472222222222214
1414,30.13888888888905
1415,33.47222222222222
1416,135.59761904761908
1417,30.83333333333343
1418,105.08452380952382
1419,100.0
1420,104.36666666666666
1421,37.84642857142859
1422,120.33333333333334
1423,37.86746031746052
1424,107.44404761904762
1425,31.5579365079366
1426,31.57222222222233
1427,129.94285714285712
1428,32.39603174603173
1429,30.926190476190577
1430,31.441269841269946
1431,105.08333333333333
1432,32.100000000000115
1433,31.794444444444558
1434,105.31071428571428
1435,105.31071428571428
1436,101.0
1437,104.36666666666666
1438,113.85119047619045
1439,104.16666666666642
1440,50.45238095238092
1441,101.0
1442,102.5
1443,31.035714285714388
1444,137.98968253968258
1445,33.55674603174603
1446,50.47619047619044
1447,32.8412698412698
1448,100.0
1449,116.18452380952377
1450,102.91666666666667
1451,84.38333333333368
1452,43.140873015873204
1453,104.36666666666666
1454,100.0
1455,120.58333333333333
1456,100.0
1457,30.822222222222322
1458,101.0
1459,30.926190476190577
1460,50.47619047619044
1461,50.47619047619044
1462,117.14007936507933
1463,104.36666666666666
1464,112.45238095238095
1465,32.80277777777782
